id,name,code,active,section_id,section_name,parent_section_id,parent_section_name
7666,Micromedidores.General,micromedidores_general,Y,209,002 UN AI,,
7670,HidroyMeteo.General,hidroymeteo_general,Y,209,002 UN AI,,
7674,EquipLaboratorio.General,equiplaboratorio_general,Y,209,002 UN AI,,
7678,EquipAlcantarillado.General,equipalcantarillado_general,Y,209,002 UN AI,,
7682,AguaNoFacturada.General,aguanofacturada_general,Y,209,002 UN AI,,
8180,Serv-EjDir.Armado.UNVA,por_completar_servicio_de_armado_v_lvulas_actuador_unva,Y,223,Ejecucion,221,006 Dpto_Servicio
8184,Serv-EjDir.PruebaFugas.UNAU,por_completar,Y,223,Ejecucion,221,006 Dpto_Servicio
8188,Serv-EjDir.MnttoFlujo.UNAU,serv_ejdir_mnttoflujo_unau,Y,223,Ejecucion,221,006 Dpto_Servicio
8192,Serv-EjDir.Mntto.Rotork,serv_ejdir_mntto_rotork,Y,223,Ejecucion,221,006 Dpto_Servicio
8196,Serv-EjDir.Mntto.Válvulas,serv_ejdir_mntto_v_lvulas,Y,223,Ejecucion,221,006 Dpto_Servicio
8200,Serv-EjDir.Gest-Res.Gamma,serv_ejdir_gest_res_gamma,Y,223,Ejecucion,221,006 Dpto_Servicio
8298,FLSmidth (Technequip-Krebs),flsmidth_technequip_krebs,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
8328,Serv-Soporte.DptoProyectos,serv_soporte_dptoproyectos,Y,258,Soporte,221,006 Dpto_Servicio
8330,Serv-Soporte.DptoServicios,serv_soporte_dptoservicios,Y,258,Soporte,221,006 Dpto_Servicio
